,Country,Year,Case Number,Date,Sex,Age,Fatal (Yes/No),href formula
198,USA,2015,2015.05.29.b,29-May-15,F,14,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.05.29.b-Gilpin.pdf
199,USA,2015,2015.05.29.a,29-May-15,F,19,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.05.29.a-Hatfield.pdf
200,FRENCH POLYNESIA,2015,2015.05.25,25-May-15,M,19,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.05.25-Rangiroa.pdf
201,USA,2015,2015.05.24,24-May-15,F,13,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.05.24-Wheatro.pdf
202,USA,2015,2015.05.20,20-May-15,M,18,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.05.20-Zaccaria.pdf
203,USA,2015,2015.05.15,15-May-15,M,30,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.05.15-Sullivans.pdf
204,NEW CALEDONIA,2015,2015.05.09,09-May-15,M,50,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.05.09-Berthelot.pdf
205,USA,2015,2015.05.07,07-May-15,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.05.07-Green.pdf
206,AUSTRALIA,2015,2015.05.03,03-May-15,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.05.03-Lucas.pdf
207,SOUTH AFRICA,2015,2015.05.02,02-May-15,M,29,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.05.02-Dasnois.pdf
208,USA,2015,2015.04.29,29-Apr-15,F,65,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.04.29-Cruse.pdf
209,USA,2015,2015.04.26,26-Apr-15,M,63,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.04.26-Jessen.pdf
210,AUSTRALIA,2015,2015.04.25,25-Apr-15,M,26,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.04.25-Blowes.pdf
211,AUSTRALIA,2015,2015.04.24.c,24-Jun-15,M,71,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.04.24.c-Vidgens.pdf
212,USA,2015,2015.04.13,13-Apr-15,M,48,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.04.13-Rackley.pdf
213,AUSTRALIA,2015,2015.04.11,11-Apr-15,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.04.11-McKenzie-Surfer.pdf
214,REUNION,2015,2015.04.12,12-Apr-15,M,13,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.04.12-Canestri.pdf
215,BRAZIL,2015,2015.03.31,31-Mar-15,M,23,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.03.31-Mota.pdf
216,USA,2015,2015.04.03,03-Apr-15,M,70,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.04.03-Neumann.pdf
217,ITALY,2015,2015.03.29,29-Mar-15,M,43,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.03.29-Masala.pdf
218,SOUTH AFRICA,2015,2015.03.26,26-Mar-15,M,36,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.03.26-VanRensburg.pdf
219,EGYPT,2015,2015.03.21,21-Mar-15,M,52,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.03.21-Egypt.pdf
220,USA,2015,2015.03.18,18-Mar-15,M,58,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.03.18-Grasing.pdf
221,FRENCH POLYNESIA,2015,2015.03.16,16-Mar-15,M,9,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.03.16-Bora-Bora.pdf
222,AUSTRALIA,2015,2015.03.11,11-Mar-15,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.03.11-Graham.pdf
223,MEXICO,2015,2015.03.10,10-Mar-15,M,36,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.03.10-Mora.pdf
224,FRENCH POLYNESIA,2015,2015.03.07,07-Mar-15,M,18 months,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.03.07-18-month.pdf
225,,2015,2015.02.15,15-Feb-15,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.02.15-Avalon.pdf
226,REUNION,2015,2015.02.14,14-Feb-15,F,22,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.02.14-Bishop.pdf 
227,AUSTRALIA,2015,2015.02.09,09-Feb-15,M,41,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.02.09-Nakahara.pdf
228,AUSTRALIA,2015,2015.02.08,08-Feb-15,M,35,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.02.08-Reitman.pdf
229,AUSTRALIA,2015,2015.02.05,05-Feb-15,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.02.05-McPhee.pdf
230,AUSTRALIA,2015,2015.01.30,30-Jan-15,M,57,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.20-Carter.pdf
231,USA,2015,2015.01.27,27-Jan-15,M,20,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.27-Pollard.pdf
233,USA,2015,2015.01.19.b,19-Jan-15,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.19.b-Fitzgerald-boat.pdf
234,AUSTRALIA,2015,2015.01.19.a,19-Jan-15,F,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.19.a-Ellis.pdf
235,AUSTRALIA,2015,2015.01.17,17-Jan-15,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.17-Watson-Tinny.pdf
236,AUSTRALIA,2015,2015.01.16,16-Jan-15,M,17,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.16-Smith.pdf
237,USA,2015,2015.01.08,08-Jan-15,M,38,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.08-Konrad.pdf
238,BAHAMAS,2015,2015.01.06,06-Jan-15,F,34,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.06-Webb-Martin.pdf
239,SOUTH AFRICA,2015,2015.01.03,03-Jan-15,M,15,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.03-Krafft.pdf
240,USA,2015,2015.01.01,01-Jan-15,M,12,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.01.01-Child.pdf
241,AUSTRALIA,2014,2014.12.29.b,29-Dec-14,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/N56702014.12.29.b-Brown.pdf
242,AUSTRALIA,2014,2014.12.29.a,29-Dec-14,M,17,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.12.29.a-Muscat.pdf
243,GREECE,2014,2014.12.28.d,28-Dec-14,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.12.28.d-NormanAtlantic.pdf
244,SOUTH AFRICA,2014,2014.12.28.c,28-Dec-14,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.12.28.c-Durban.pdf
245,USA,2014,2014.12.28.b,28-Dec-14,M,50,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.12.28.b-Swanson.pdf
246,AUSTRALIA,2014,2014.12.28.a,28-Dec-14,M,40s,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.12.28.a-ParadiseBeach.pdf
247,JAPAN,2014,2014.12.23.R,Reported 23-Dec-2014,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.12.23.R-GoblinShark.pdf
248,AUSTRALIA,2014,2014.12.15,15-Dec-14,M,17,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.12.15-DanielSmith.pdf
249,SPAIN,2014,2014.12.03.R,Reported 03-Dec-2014,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.12.03.R-Spanish-fisherman.pdf
250,AUSTRALIA,2014,2014.11.29,29-Nov-14,M,13,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.11.29-Pearman.pdf
251,MAURITIUS,2014,2014.11.20,20-Nov-14,M,39,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.11.20-Mauritius.pdf 
252,AUSTRALIA,2014,2014.11.19,19-Nov-14,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.11.19-Freo.pdf 
253,USA,2014,2014.11.16,16-Nov-14,M,44,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.11.16-IndianHarbor.pdf
254,USA,2014,2014.11.17,Reported 17-Nov-2014,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.11.17-CA-Fishermen.pdf
255,USA,2014,2014.11.13,13-Nov-14,M,53,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.11.13-Hawaii.pdf
256,AUSTRALIA,2014,2014.11.10,10-Nov-14,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.11.10-Moonee.pdf
257,USA,2014,2014.11.08,08-Nov-14,M,18,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.11.08-FortPierce.pdf
258,USA,2014,2014.10.31,31-Oct-14,F,34,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.31-Clark.pdf
259,AUSTRALIA,2014,2014.10.30,29-Oct-14,M,20,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.29-Hunt.pdf
260,USA,2014,2014.10.22,22-Oct-14,F,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.22-Lawrence.pdf
261,USA,2014,2014.10.20,20-Oct-14,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.20-Maui.pdf
265,USA,2014,2014.10.14,14-Oct-14,F,7,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.14-Bandy.pdf
266,USA,2014,2014.10.12,12-Oct-14,F,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.12-Melbourne.pdf
267,USA,2014,2014.10.07,07-Oct-14,F,40,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.07-CherieDownPark.pdf
268,AUSTRALIA,2014,2014.10.11,11-Oct-14,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.11-Dunsborough.pdf
269,USA,2014,2014.10.05.b,05-Oct-14,M,29,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.05.b-Ross.pdf
270,USA,2014,2014.10.05.a,05-Oct-14,M,15,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.05.a-Mantooth.pdf
273,USA,2014,2014.10.02.b,02-Oct-14,M,28,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.02.b-Vandenberg.pdf
274,AUSTRALIA,2014,2014.10.02.a,02-Oct-14,M,23,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.10.02.a-Pollard.pdf
275,USA,2014,2014.09.21,21-Sep-14,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.21-Lefebvre.pdf
276,FRENCH POLYNESIA,2014,2014.09.13.R,Reported 12-Sep-2014,F,36,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.12.R-Moorea.pdf
277,USA,2014,2014.09.13,13-Sep-14,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.13-Browning.pdf
278,AUSTRALIA,2014,2014.09.09,09-Sep-14,M,50,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.09-Wilcox.pdf
279,USA,2014,2014.09.06,06-Sep-14,M,43,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.06-Robson.pdf
280,USA,2014,2014.09.03,03-Sep-14,F,20s,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.03-Plymouthkayakers.pdf
281,USA,2014,2014.09.02,02-Sep-14,M,52,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.02-FletcherBeach.pdf
282,SPAIN,2014,2014.09.00,Sep-14,M,16,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.00-Salou.pdf
283,USA,2014,2014.08.31,31-Aug-14,F,13,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.31-Masterson.pdf
284,USA,2014,2014.08.29.b,29-Aug-14,M,17,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.29.b-Murphy.pdf
285,USA,2014,2014.08.29.a,29-Aug-14,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.29.a-AtlanticBeach.pdf
286,USA,2014,2014.08.28,28-Aug-14,M,33,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.28-Vickers.pdf
287,SPAIN,2014,2014.08.27.c,27-Aug-14,F,30s,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.27.c-Spain.pdf
288,USA,2014,2014.08.27.b,27-Aug-14,M,29,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.27.b-Anderson.pdf
289,USA,2014,2014.08.27.a,27-Aug-14,F,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.27.a-Surfside.pdf
290,USA,2014,2014.08.25,Reported 25-Aug-2014,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.25.R-Wiley.pdf
291,USA,2014,2014.08.24,24-Aug-14,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.24-Diggs.pdf
292,AUSTRALIA,2014,2014.08.16,16-Aug-14,M,31,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.16-Haling.pdf
294,USA,2014,2014.08.10,10-Aug-14,M,26,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.10-Hallandale.pdf
295,BAHAMAS,2014,2014.08.09.R,09-Aug-14,M,,N,"http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.09.R-Hindley, pdf"
296,USA,2014,2014.08.09,09-Aug-14,F,10,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.09-CocoaBeach.pdf
297,USA,2014,2014.08.08,08-Aug-14,M,7,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.08-Trentacosta.pdf
298,USA,2014,2014.08.06,06-Aug-14,M,10,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.14-Harris.pdf
299,USA,2014,2014.08.05,05-Aug-14,F,45,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.05-Tulip.pdf
300,USA,2014,2014.08.02,02-Aug-14,M,50s,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.08-CocoaBeach.pdf
301,USA,2014,2014.08.02,02-Aug-14,M,8,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.02-Sanhueza.pdf
302,SOUTH AFRICA,2014,2014.08.01,01-Aug-14,M,20,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.01-Smithers.pdf
303,,2014,2014.08.00,Aug-14,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.00-Cuban-refugees.pdf
304,USA,2014,2014.07.27,27-Jul-14,M,Teen,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.27-SunsetBeach.pdf
306,USA,2014,2014.07.21,21-Jul-14,M,8,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.21-Crick.pdf
307,SPAIN,2014,2014.07.20,20-Jul-14,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.20-Tenerife.pdf
308,USA,2014,2014.07.16,16-Jul-14,M,61,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.16-Maui.pdf
309,USA,2014,2014.07.14,14-Jul-14,M,39,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.14-Moore.pdf
310,BAHAMAS,2014,2014.07.13,13-Jul-14,M,63,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.13-Petty.pdf
311,USA,2014,2014.07.12,12-Jul-14,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.12-Jewell.pdf
312,USA,2014,2014.07.09,09-Jul-14,M,14,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.09-Durham.pdf
313,USA,2014,2014.07.05.b,05-Jul-14,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.05.b-Robles.pdf
314,USA,2014,2014.07.05.a,05-Jul-14,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.05.a-Surfer.pdf
315,USA,2014,2014.07.03,03-Jul-14,M,19,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.03-Fairbourne.pdf
316,ST. MARTIN,2014,2014.06.27.R,Reported 27-Jun-2014,M,48,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.27-Mooney.pdf
317,BAHAMAS,2014,2014.06.25,25-Jun-14,M,42,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.25-Adams.pdf
318,AUSTRALIA,2014,2014.06.18.b,18-Jun-14,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.18.b-Longhurst.pdf
319,AUSTRALIA,2014,2014.06.18.a,18-Jun-14,M,15,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.18.a-McKinnon.pdf
320,AUSTRALIA,2014,2014.06.17.R,Reported 17-Jun-2014,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.17.R-Wright.pdf
321,BRAZIL,2014,2014.06.09.c,09-Jun-14,M,43,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.09.c-Sunarko.pdf
322,USA,2014,2014.06.09.b,09-Jun-14,M,16,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.09.b-Vance.pdf
324,JAPAN,2014,2014.06.08,08-Jun-14,M,43,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.08-Takahashi.pdf
325,USA,2014,2014.06.07,07-Jun-14,F,14,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.07-Medina.pdf
326,USA,2014,2014.06.01.c,01-Jun-14,F,22,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.01.c-Vaughn.pdf
327,AUSTRALIA,2014,2014.06.01.b,01-Jun-14,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.01.b-Smith.pdf
328,USA,2014,2014.06.01.a,01-Jun-14,F,37,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.01.a-PalmyraAtoll.pdf
329,AUSTRALIA,2014,2014.05.27.R,24-May-14,F,29,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.27.R-Freeman.pdf
330,FRANCE,2014,2014.05.23,23-May-14,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.23-Barnabas.pdf
331,AUSTRALIA,2014,2014.05.22,22-May-14,M,10,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.22-Aquarium.pdf
332,ECUADOR,2015,2015.11.20,20-Nov-15,M,55,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.20-Hurley.pdf
333,USA,2014,2014.05.15,15-May-14,F,38,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.15-Tatsch.pdf
334,AUSTRALIA,2014,2014.05.14,14-May-14,M,35,N,"http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.14-McLeod, pdf"
335,USA,2014,2014.05.13,13-May-14,F,44,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.13-Cosa.pdf
336,USA,2014,2014.05.11,11-May-14,M,12,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.11-Meadows.pdf
337,USA,2014,2014.05.10.R,Reported 10-May-2014,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.10.R-Roseman.pdf
338,USA,2014,2014.05.06,06-May-14,F,40,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.06-Popp.pdf
339,USA,2014,2014.05.01,01-May-14,M,23,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.01-Nolet.pdf
340,AUSTRALIA,2014,2014.04.24,24-Apr-14,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.04.24-WA.pdf
341,USA,2014,2014.04.22,22-Apr-14,M ,42,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.04.22-CocoaBeach.pdf
342,USA,2014,2014.04.15,15-Apr-14,M,25,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.04.15-NSB.pdf
343,SOUTH AFRICA,2014,2014.04.12.R,Reported 12-Apr-2014,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/.2014.04.12.R-inflatable
344,SOUTH AFRICA,2014,2014.04.12,12-Apr-14,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.04.12-McDougall.pdf
345,USA,2014,2014.04.04.b,04-Apr-14,M,teen,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.04.04.b-NSB.pdf
346,USA,2014,2014.04.04.a,04-Apr-14,M,teen,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.04.04.a-NSB.pdf
348,AUSTRALIA,2014,2014.03.29,29-Mar-14,M,38,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.29-WesternAustralia.pdf
349,SOUTH AFRICA,2014,2014.03.22.b,22-Mar-14,M,66,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.22.b-SecondBeach.pdf
350,USA,2014,2014.03.22.a,22-Mar-14,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.22.a-Hoffman.pdf
351,USA,2014,2014.03.21,21-Mar-14,M,9,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.21-Cozzen.pdf
352,NEW CALEDONIA,2014,2014.03.18.c,18-Mar-14,M,42,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.18.c-Borgna
353,AUSTRALIA,2014,2014.03.18.b,18-Mar-14,M,42,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.18.b-Byrne.pdf
354,CAYMAN ISLANDS,2014,2014.03.13,13-Mar-14,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.13-Dimitri.pdf
355,AUSTRALIA,2014,2014.03.18,18-Mar-14,F,10,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.18-NSW.pdf
356,AUSTRALIA,2014,2014.03.12,12-Mar-14,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.12-LightouseBeach.pdf
357,USA,2014,2014.03.02,02-Mar-14,M,21,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.02-Fugitt.pdf
358,FRENCH POLYNESIA,2014,2014.02.20,20-Feb-14,M,21,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.02.20-FrenchPolynesia.pdf
359,PAPUA NEW GUINEA,2014,2014.02.17,Reported 17-Feb-2014,M,21,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.02.17.R-OneDLL
360,AUSTRALIA,2014,2014.02.08,08-Feb-14,M,28,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.02.08-Kellett.pdf
366,NEW ZEALAND,2014,2014.00.00,2014,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.00.00-Jeff-Andy.pdf
368,SOUTH AFRICA,2013,2013.12.16,16-Dec-13,M,19,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.12.16-Browne.pdf
369,KIRIBATI,2013,2013.12.13,13-Dec-13,M,35,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.12.13-Kiribati.pdf
370,USA,2013,2013.12.11,11-Dec-13,M,29,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.12.11-Hawaii.pdf
371,USA,2013,2013.12.10,10-Dec-13,M,30,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.12.10-Baughman.pdf
372,AUSTRALIA,2013,2013.12.05,05-Dec-13,M,26,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.12.05-PortMacquarie.pdf
373,USA,2013,2013.12.02,02-Dec-13,M,57,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.12.02-Briney.pdf
374,AUSTRALIA,2013,2013.11.30,30-Nov-13,M,19,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.11.30-ZacYoung.pdf
375,USA,2013,2013.11.29,29-Nov-13,F,58,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.11.29-Maui.pdf
376,AUSTRALIA,2013,2013.11.23.a,23-Nov-13,M,35,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.11.23.a-Boyd.pdf
385,AUSTRALIA,2013,2013.10.26.a,26-Oct-13,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.26.a-Robinson.pdf
386,AUSTRALIA,2013,2013.10.24,24-Oct-13,M,41,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.24-Joyce.pdf
387,USA,2013,2013.10.23,23-Oct-13,M,45,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.23-ShaneMills.pdf
388,USA,2013,2013.10.20,20-Oct-13,M,25,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.20-Horton.pdf
389,USA,2013,2013.10.19,19-Oct-13,M,6,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.19-Hamby.pdf
390,SOUTH AFRICA,2013,2013.10.11,11-Oct-13,M,74,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.11-Vd-Westhuizen.pdf
391,AUSTRALIA,2013,2013.10.08,08-Oct-13,M,55,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.08-Pickering.pdf
392,USA,2013,2013.10.05,06-Oct-13,M,45,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.06-Scrivner.pdf
393,USA,2013,2013.10.05,10-Oct-13,M,12,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.05-Standridge.pdf
394,USA,2013,2013.09.29.b,29-Sep-13,M,50,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.29.b-BrevardSurfer.pdf
395,ISRAEL,2013,2013.09.29.a,29-Sep-13,M,27,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.29.a-Lev.pdf
396,USA,2013,2013.09.25, 25-Sep-2013,M,7,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.25-EthanHand.pdf
397,USA,2013,2013.09.21.b, 21-Sep-2013,M,45,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.21.b-OrmondBeach.pdf
398,USA,2013,2013.09.21.a, 21-Sep-2013,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.21.a-Dugan.pdf
399,USA,2013,2013.09.14, 14-Sep-2013,M,21,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.14-Kalck.pdf
400,USA,2013,2013.09.12, 12-Sep-2013,F,13,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.12-Portman.pdf
401,USA,2013,2013.09.08,08-Sep-13,F,,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.08-St-Helena.pdf
402,USA,2013,2013.09.07.b, 07-Sep-2013,M,43,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.07.b-Graham.pdf
403,USA,2013,2013.09.07.a, 07-Sep-2013,M,25,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.07.a-Cardiel.pdf
404,USA,2013,2013.09.02, 02-Sep-2013,M,17,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.02-Floyd.pdf
405,USA,2013,2013.09.01.c, 01-Sep-2013,M,3,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.01-KeyWestAquarium.pdf
